frame,mean_iou,iou_v0,iou_v1,iou_v2,iou_v3,iou_v4,iou_v5
1110,0.5392,0.4903,0.4765,0.5435,0.5507,0.7123,0.4615
1115,0.5761,0.5002,0.5275,0.5853,0.6855,0.6496,0.5087
1120,0.6652,0.5941,0.5956,0.6677,0.7476,0.7304,0.6557
1125,0.5802,0.5009,0.5238,0.6082,0.6679,0.6137,0.5667
1130,0.578,0.496,0.5164,0.614,0.6684,0.5962,0.5769
1135,0.6035,0.5346,0.52,0.6398,0.6548,0.6528,0.6192
1140,0.6584,0.6198,0.5267,0.7776,0.6421,0.7007,0.6836
1145,0.6299,0.6121,0.5051,0.74,0.5906,0.629,0.7026
1150,0.6285,0.5925,0.5372,0.7235,0.5878,0.5932,0.7369
1155,0.6373,0.6051,0.5322,0.7844,0.5798,0.5813,0.741
1160,0.6764,0.6356,0.6713,0.7437,0.6451,0.5864,0.7762
1165,0.6352,0.5685,0.5956,0.7251,0.6382,0.5249,0.7588
1170,0.6108,0.5484,0.565,0.6938,0.6145,0.4979,0.7456
1175,0.6572,0.5765,0.5698,0.8244,0.6498,0.5322,0.7908
1180,0.7078,0.6139,0.5857,0.9082,0.6867,0.6216,0.8308
1185,0.6832,0.6145,0.5369,0.8732,0.6616,0.6154,0.7978
1190,0.677,0.6115,0.5367,0.8391,0.6691,0.6236,0.7818
1195,0.6877,0.627,0.555,0.8137,0.6905,0.627,0.8127
1200,0.7072,0.6316,0.5937,0.8566,0.6975,0.6213,0.8426
1205,0.6773,0.6093,0.5593,0.8297,0.6652,0.6107,0.7898
1210,0.6351,0.5833,0.5319,0.7535,0.6218,0.5884,0.7319
1215,0.6293,0.585,0.5163,0.778,0.6107,0.5856,0.7002
1220,0.6443,0.5789,0.5203,0.8872,0.5961,0.6007,0.6828
1225,0.5621,0.5842,0.5134,0.6704,0.5126,0.4978,0.5942
1230,0.5523,0.6026,0.5885,0.5697,0.5034,0.4716,0.5779
1235,0.5789,0.6359,0.6683,0.5636,0.5258,0.4934,0.5864
1240,0.5994,0.6637,0.5943,0.6113,0.5407,0.5321,0.654
1245,0.5908,0.6634,0.6227,0.6018,0.5188,0.5114,0.6268
1250,0.5683,0.6359,0.6395,0.5729,0.4845,0.4803,0.5966
1255,0.5648,0.629,0.6524,0.56,0.4872,0.4718,0.5883
1260,0.5577,0.6324,0.6394,0.5458,0.4838,0.4644,0.5802
1265,0.5577,0.6123,0.6566,0.5525,0.4753,0.4641,0.5853
1270,0.5494,0.6014,0.6227,0.5632,0.4711,0.4521,0.5856
1275,0.5594,0.6032,0.6296,0.5803,0.4696,0.4633,0.6103
1280,0.5671,0.5996,0.6507,0.5838,0.4752,0.4851,0.6082
1285,0.5409,0.5816,0.6103,0.5572,0.4492,0.4497,0.5975
1290,0.5343,0.5762,0.5973,0.5588,0.4372,0.4418,0.5944
1295,0.5334,0.5887,0.5809,0.5619,0.4371,0.4332,0.5986
1300,0.5352,0.5846,0.5814,0.5735,0.4363,0.4317,0.6034
1305,0.5283,0.5678,0.5553,0.5932,0.436,0.4287,0.5885
1310,0.5356,0.5642,0.5631,0.6037,0.4413,0.4438,0.5973
1315,0.541,0.5684,0.5632,0.609,0.447,0.461,0.5974
1320,0.5496,0.5765,0.5766,0.6102,0.4593,0.4771,0.598
1325,0.5483,0.5789,0.5745,0.6031,0.4611,0.4714,0.6008
1330,0.5479,0.5815,0.5676,0.6069,0.4617,0.4719,0.598
1335,0.5532,0.5849,0.5751,0.6192,0.4661,0.4743,0.5997
1340,0.5544,0.5874,0.5783,0.6213,0.4652,0.4768,0.5976
1345,0.5528,0.5857,0.574,0.6209,0.462,0.4791,0.5953
1350,0.5508,0.586,0.5711,0.6129,0.4675,0.475,0.5925
1355,0.5504,0.5841,0.5711,0.615,0.4669,0.4704,0.5948
1360,0.5496,0.5834,0.5712,0.6129,0.4653,0.4729,0.5922
1365,0.5476,0.5821,0.571,0.6114,0.4622,0.4679,0.5912
1370,0.5492,0.5842,0.5694,0.6121,0.467,0.4708,0.5919
1375,0.5493,0.5857,0.5699,0.6079,0.4701,0.4689,0.5936
1380,0.549,0.5839,0.5729,0.6068,0.4678,0.4718,0.5908
1385,0.547,0.579,0.5639,0.611,0.4659,0.4667,0.5956
1390,0.5437,0.5704,0.5582,0.6122,0.4609,0.4655,0.5948
1395,0.5409,0.5624,0.5532,0.6139,0.4555,0.4612,0.5991
1400,0.5441,0.5598,0.5532,0.6228,0.4592,0.471,0.5988
1405,0.5288,0.5527,0.5268,0.6061,0.4391,0.4595,0.5885
1410,0.5094,0.5473,0.4951,0.5751,0.4259,0.4358,0.5773
1415,0.5105,0.5596,0.4806,0.5744,0.4316,0.4307,0.5861
1420,0.5133,0.5626,0.4788,0.5919,0.4322,0.4281,0.5861
1425,0.5048,0.5483,0.4547,0.5736,0.4383,0.4306,0.583
1430,0.5124,0.5649,0.4748,0.5576,0.4534,0.4495,0.5741
1435,0.5366,0.6436,0.476,0.5706,0.458,0.4849,0.5866
1440,0.594,0.7074,0.5498,0.631,0.4876,0.5431,0.6452
1445,0.6105,0.7607,0.5639,0.6489,0.4765,0.5499,0.6628
1450,0.6142,0.7808,0.5556,0.6647,0.4735,0.5518,0.6591
1455,0.6362,0.8017,0.5601,0.6951,0.5098,0.5753,0.675
1460,0.6546,0.807,0.5741,0.702,0.5448,0.5981,0.7016
1465,0.6379,0.7509,0.5419,0.6887,0.5667,0.5765,0.7024
1470,0.6385,0.7397,0.5447,0.6864,0.5725,0.5839,0.7036
1475,0.6476,0.7803,0.5725,0.6851,0.5658,0.5784,0.7036
1480,0.6521,0.8079,0.5983,0.6783,0.557,0.5646,0.7066
1485,0.6537,0.8062,0.5961,0.6819,0.5606,0.5661,0.7117
1490,0.6543,0.8191,0.595,0.6832,0.5587,0.5668,0.7028
1495,0.6549,0.81,0.5972,0.6824,0.5637,0.5724,0.7034
1500,0.6555,0.8077,0.5978,0.6883,0.5587,0.5777,0.7026
1505,0.6531,0.8091,0.5934,0.6875,0.5558,0.5728,0.7003
1510,0.6525,0.8068,0.5946,0.6864,0.5569,0.5723,0.6982
1515,0.652,0.8088,0.589,0.6867,0.5561,0.5733,0.698
1520,0.6553,0.8112,0.5994,0.6875,0.5566,0.5752,0.7021
1525,0.6572,0.8081,0.6002,0.6892,0.5584,0.5812,0.7064
1530,0.6602,0.8117,0.6026,0.693,0.5616,0.5833,0.7087
1535,0.6601,0.8065,0.6042,0.6951,0.5638,0.5857,0.7054
1540,0.6598,0.8002,0.6044,0.6951,0.5632,0.5887,0.7071
1545,0.6655,0.8028,0.6175,0.6919,0.5701,0.603,0.7078
1550,0.6643,0.801,0.6187,0.6934,0.5713,0.5993,0.7023
1555,0.657,0.8084,0.5912,0.6811,0.5653,0.6083,0.6879
1560,0.6487,0.7747,0.5534,0.6929,0.5617,0.6137,0.6958
1565,0.6489,0.7567,0.536,0.6971,0.5717,0.6228,0.7088
1570,0.6491,0.7768,0.528,0.6941,0.5779,0.6214,0.6965
1575,0.6513,0.7999,0.5366,0.6845,0.5737,0.6214,0.6915
1580,0.6603,0.7925,0.5742,0.6769,0.5809,0.6346,0.7028
1585,0.6528,0.7924,0.6057,0.6594,0.5646,0.6098,0.6847
1590,0.6434,0.7998,0.6013,0.6273,0.5557,0.598,0.678
1595,0.6501,0.8205,0.6171,0.6364,0.5419,0.6077,0.6772
1600,0.6496,0.8195,0.6106,0.6546,0.5326,0.608,0.6723
1605,0.632,0.7906,0.587,0.6504,0.518,0.5872,0.6587
1610,0.6213,0.7804,0.593,0.6409,0.5051,0.5642,0.6442
1615,0.6153,0.7951,0.5597,0.6454,0.4955,0.5565,0.6394
1620,0.6177,0.8028,0.5707,0.6498,0.487,0.5576,0.6384
1625,0.6171,0.7918,0.5648,0.6559,0.492,0.5614,0.6367
1630,0.6233,0.7989,0.5797,0.675,0.4958,0.5611,0.6292
1635,0.624,0.7946,0.5736,0.6803,0.5051,0.5604,0.6303
1640,0.6286,0.8089,0.5895,0.6821,0.5027,0.5587,0.63
1645,0.6353,0.82,0.6006,0.69,0.507,0.5656,0.6288
1650,0.6334,0.8192,0.5929,0.6909,0.5021,0.5659,0.6296
1655,0.6326,0.8192,0.5965,0.6885,0.5,0.561,0.6303
1660,0.6306,0.8184,0.5874,0.691,0.4973,0.5586,0.631
1665,0.6314,0.8139,0.5964,0.6896,0.4972,0.5582,0.6329
1670,0.6308,0.8151,0.5886,0.6899,0.4969,0.566,0.6281
1675,0.6298,0.8111,0.591,0.6892,0.4977,0.5603,0.6298
1680,0.6306,0.8113,0.5942,0.6882,0.4993,0.5588,0.6319
1685,0.6301,0.8095,0.5943,0.6878,0.4961,0.5611,0.632
1690,0.6301,0.8113,0.5914,0.6893,0.499,0.5584,0.6308
1695,0.63,0.8141,0.5913,0.6856,0.5006,0.558,0.6306
1700,0.6309,0.8154,0.5908,0.6885,0.499,0.5624,0.6292
1705,0.6274,0.8086,0.584,0.6934,0.4905,0.5622,0.6255
