frame,delta
7060,0.2248
14640,0.2248
3610,0.2251
16590,0.2251
3165,0.2254
3580,0.2254
13545,0.2254
13565,0.2254
6245,0.2256
12340,0.2259
10585,0.2261
13580,0.2261
3470,0.2262
3465,0.2266
1100,0.2267
13550,0.2267
1795,0.2269
12400,0.2269
11675,0.2271
13490,0.2272
12350,0.2274
9520,0.2275
11230,0.2276
15475,0.2277
8400,0.228
10800,0.228
15555,0.2284
3455,0.2287
13575,0.2287
16395,0.2288
3445,0.229
7405,0.2291
14905,0.2291
5835,0.2294
3605,0.2296
5460,0.2296
13540,0.2297
15440,0.2297
17760,0.2298
8100,0.2304
14355,0.2304
8870,0.2305
3450,0.2306
13605,0.2306
6685,0.2307
16650,0.2307
16475,0.231
11055,0.2311
15465,0.2311
15495,0.2311
11685,0.2312
14395,0.2313
9355,0.2314
13585,0.2314
3090,0.2318
15480,0.232
9760,0.2321
2265,0.2323
5880,0.2325
560,0.2326
17605,0.2326
11455,0.2327
6880,0.2328
3615,0.2333
8800,0.2333
15490,0.2334
17200,0.2334
10380,0.2337
580,0.2338
6450,0.2338
620,0.2339
3065,0.234
4210,0.2341
15460,0.2341
7400,0.2342
15470,0.2342
13590,0.2343
7420,0.2344
14400,0.2344
13660,0.2345
11470,0.2347
11700,0.2347
14875,0.235
8855,0.2351
10780,0.2351
13515,0.2352
6255,0.2354
7195,0.2354
15425,0.2354
14895,0.2355
13535,0.2358
5860,0.2359
7530,0.2359
10360,0.2361
10440,0.2363
3085,0.2364
10435,0.2364
15445,0.2365
3930,0.2367
13520,0.2367
15485,0.2367
15560,0.2368
645,0.2369
15430,0.2369
16795,0.237
7070,0.2371
14645,0.2373
8095,0.2374
8845,0.2374
9720,0.2374
11745,0.2374
6200,0.2375
15455,0.2375
7065,0.2376
14655,0.2376
15435,0.2377
13270,0.2378
670,0.2379
2435,0.2379
3570,0.2379
7350,0.238
6620,0.2381
15450,0.2381
12780,0.2382
16385,0.2384
15500,0.2386
450,0.2387
14915,0.2387
16655,0.2387
6250,0.2389
10460,0.2389
15310,0.2389
8850,0.239
9620,0.239
15575,0.239
11765,0.2392
15395,0.2392
6435,0.2394
10885,0.2394
15540,0.2394
1305,0.2395
2110,0.2396
8860,0.2396
7205,0.2397
13665,0.2397
6800,0.2398
14890,0.2399
7215,0.2402
16460,0.2402
3130,0.2406
15410,0.2408
370,0.2409
13525,0.2409
15510,0.2409
15520,0.2409
1800,0.241
10655,0.2412
11065,0.2413
11760,0.2413
12725,0.2415
9750,0.2416
14910,0.2417
5020,0.2418
11460,0.2418
